id,zero_intelligence_count,zero_intelligence_intensity,zero_intelligence_shading_min,zero_intelligence_shading_max,market_maker_count,market_maker_intensity,market_maker_number_orders,market_maker_number_of_ticks_between_orders,market_maker_spread_around_asset,national_best_bid_and_offer_delay,batch_auction_length,session_length
1,66,0.0005,0,250,2,0.005,3,25,128,0,0,1000
2,66,0.001,0,250,2,0.005,3,25,128,0,0,1000
3,66,0.0005,0,500,2,0.005,3,25,128,0,0,1000
4,66,0.001,0,500,2,0.005,3,25,128,0,0,1000
5,66,0.0005,0,250,4,0.005,3,25,128,0,0,1000
6,66,0.001,0,250,4,0.005,3,25,128,0,0,1000
7,66,0.0005,0,500,4,0.005,3,25,128,0,0,1000
8,66,0.001,0,500,4,0.005,3,25,128,0,0,1000
9,66,0.0005,0,250,2,0.005,3,50,128,0,0,1000
10,66,0.001,0,250,2,0.005,3,50,128,0,0,1000
11,66,0.0005,0,500,2,0.005,3,50,128,0,0,1000
12,66,0.001,0,500,2,0.005,3,50,128,0,0,1000
13,66,0.0005,0,250,4,0.005,3,50,128,0,0,1000
14,66,0.001,0,250,4,0.005,3,50,128,0,0,1000
15,66,0.0005,0,500,4,0.005,3,50,128,0,0,1000
16,66,0.001,0,500,4,0.005,3,50,128,0,0,1000
17,66,0.0005,0,250,2,0.005,3,25,256,0,0,1000
18,66,0.001,0,250,2,0.005,3,25,256,0,0,1000
19,66,0.0005,0,500,2,0.005,3,25,256,0,0,1000
20,66,0.001,0,500,2,0.005,3,25,256,0,0,1000
21,66,0.0005,0,250,4,0.005,3,25,256,0,0,1000
22,66,0.001,0,250,4,0.005,3,25,256,0,0,1000
23,66,0.0005,0,500,4,0.005,3,25,256,0,0,1000
24,66,0.001,0,500,4,0.005,3,25,256,0,0,1000
25,66,0.0005,0,250,2,0.005,3,50,256,0,0,1000
26,66,0.001,0,250,2,0.005,3,50,256,0,0,1000
27,66,0.0005,0,500,2,0.005,3,50,256,0,0,1000
28,66,0.001,0,500,2,0.005,3,50,256,0,0,1000
29,66,0.0005,0,250,4,0.005,3,50,256,0,0,1000
30,66,0.001,0,250,4,0.005,3,50,256,0,0,1000
31,66,0.0005,0,500,4,0.005,3,50,256,0,0,1000
32,66,0.001,0,500,4,0.005,3,50,256,0,0,1000
33,66,0.0005,0,250,2,0.005,3,25,128,500,0,1000
34,66,0.001,0,250,2,0.005,3,25,128,500,0,1000
35,66,0.0005,0,500,2,0.005,3,25,128,500,0,1000
36,66,0.001,0,500,2,0.005,3,25,128,500,0,1000
37,66,0.0005,0,250,4,0.005,3,25,128,500,0,1000
38,66,0.001,0,250,4,0.005,3,25,128,500,0,1000
39,66,0.0005,0,500,4,0.005,3,25,128,500,0,1000
40,66,0.001,0,500,4,0.005,3,25,128,500,0,1000
41,66,0.0005,0,250,2,0.005,3,50,128,500,0,1000
42,66,0.001,0,250,2,0.005,3,50,128,500,0,1000
43,66,0.0005,0,500,2,0.005,3,50,128,500,0,1000
44,66,0.001,0,500,2,0.005,3,50,128,500,0,1000
45,66,0.0005,0,250,4,0.005,3,50,128,500,0,1000
46,66,0.001,0,250,4,0.005,3,50,128,500,0,1000
47,66,0.0005,0,500,4,0.005,3,50,128,500,0,1000
48,66,0.001,0,500,4,0.005,3,50,128,500,0,1000
49,66,0.0005,0,250,2,0.005,3,25,256,500,0,1000
50,66,0.001,0,250,2,0.005,3,25,256,500,0,1000
51,66,0.0005,0,500,2,0.005,3,25,256,500,0,1000
52,66,0.001,0,500,2,0.005,3,25,256,500,0,1000
53,66,0.0005,0,250,4,0.005,3,25,256,500,0,1000
54,66,0.001,0,250,4,0.005,3,25,256,500,0,1000
55,66,0.0005,0,500,4,0.005,3,25,256,500,0,1000
56,66,0.001,0,500,4,0.005,3,25,256,500,0,1000
57,66,0.0005,0,250,2,0.005,3,50,256,500,0,1000
58,66,0.001,0,250,2,0.005,3,50,256,500,0,1000
59,66,0.0005,0,500,2,0.005,3,50,256,500,0,1000
60,66,0.001,0,500,2,0.005,3,50,256,500,0,1000
61,66,0.0005,0,250,4,0.005,3,50,256,500,0,1000
62,66,0.001,0,250,4,0.005,3,50,256,500,0,1000
63,66,0.0005,0,500,4,0.005,3,50,256,500,0,1000
64,66,0.001,0,500,4,0.005,3,50,256,500,0,1000
65,66,0.0005,0,250,2,0.005,3,25,128,1000,0,1000
66,66,0.001,0,250,2,0.005,3,25,128,1000,0,1000
67,66,0.0005,0,500,2,0.005,3,25,128,1000,0,1000
68,66,0.001,0,500,2,0.005,3,25,128,1000,0,1000
69,66,0.0005,0,250,4,0.005,3,25,128,1000,0,1000
70,66,0.001,0,250,4,0.005,3,25,128,1000,0,1000
71,66,0.0005,0,500,4,0.005,3,25,128,1000,0,1000
72,66,0.001,0,500,4,0.005,3,25,128,1000,0,1000
73,66,0.0005,0,250,2,0.005,3,50,128,1000,0,1000
74,66,0.001,0,250,2,0.005,3,50,128,1000,0,1000
75,66,0.0005,0,500,2,0.005,3,50,128,1000,0,1000
76,66,0.001,0,500,2,0.005,3,50,128,1000,0,1000
77,66,0.0005,0,250,4,0.005,3,50,128,1000,0,1000
78,66,0.001,0,250,4,0.005,3,50,128,1000,0,1000
79,66,0.0005,0,500,4,0.005,3,50,128,1000,0,1000
80,66,0.001,0,500,4,0.005,3,50,128,1000,0,1000
81,66,0.0005,0,250,2,0.005,3,25,256,1000,0,1000
82,66,0.001,0,250,2,0.005,3,25,256,1000,0,1000
83,66,0.0005,0,500,2,0.005,3,25,256,1000,0,1000
84,66,0.001,0,500,2,0.005,3,25,256,1000,0,1000
85,66,0.0005,0,250,4,0.005,3,25,256,1000,0,1000
86,66,0.001,0,250,4,0.005,3,25,256,1000,0,1000
87,66,0.0005,0,500,4,0.005,3,25,256,1000,0,1000
88,66,0.001,0,500,4,0.005,3,25,256,1000,0,1000
89,66,0.0005,0,250,2,0.005,3,50,256,1000,0,1000
90,66,0.001,0,250,2,0.005,3,50,256,1000,0,1000
91,66,0.0005,0,500,2,0.005,3,50,256,1000,0,1000
92,66,0.001,0,500,2,0.005,3,50,256,1000,0,1000
93,66,0.0005,0,250,4,0.005,3,50,256,1000,0,1000
94,66,0.001,0,250,4,0.005,3,50,256,1000,0,1000
95,66,0.0005,0,500,4,0.005,3,50,256,1000,0,1000
96,66,0.001,0,500,4,0.005,3,50,256,1000,0,1000
97,66,0.0005,0,250,2,0.005,3,25,128,0,100,1000
